"regional"	"zonal"	"mo_oficina"	"mo_nombre_oficina"	"Banca_cliente"	"Saldo_total"	"Saldo_vencido"	"Obligaciones_Total"	"Obligaciones_vencidas"	"mo_fecha_de_proceso"
"Antioquia"	"Antioquia Apartado"	1325.00	"CHIGORODO"	"PERSONAL"	3694633718.39	79781357.06	467	27.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	1326.00	"MUTATA-ANTIOQUIA"	"PERSONAL"	1259339051.14	82305856.30	229	19.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	1332.00	"TURBO"	"PERSONAL"	2807751642.48	109325533.41	303	20.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	1352.00	"APARTADO"	"PERSONAL"	2954922090.16	374354351.50	517	57.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	1446.00	"NECOCLI"	"PERSONAL"	3218141127.33	154892867.85	359	31.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3301.00	"ACANDI"	"PERSONAL"	1351889944.95	55574434.76	277	18.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3303.00	"QUIBDO"	"PERSONAL"	7720746081.24	623500073.14	651	74.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3309.00	"BAHIA SOLANO"	"PERSONAL"	1143236467.16	43612932.27	151	12.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3320.00	"CONDOTO"	"PERSONAL"	3720778899.68	415955269.51	365	41.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3350.00	"PIZARRO"	"PERSONAL"	1025515064.22	34396798.72	131	11.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3360.00	"RIOSUCIO (CHOCO)"	"PERSONAL"	1642247501.30	156723238.95	198	39.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3370.00	"UNGUIA"	"PERSONAL"	1792631402.32	41412143.98	234	12.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Apartado"	3375.00	"TADO"	"PERSONAL"	1543146580.64	121038765.43	134	27.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1320.00	"EL BAGRE"	"PERSONAL"	3063609083.60	342659082.57	326	48.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1321.00	"CAUCASIA"	"PERSONAL"	6333754794.56	379234243.66	538	53.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1399.00	"ZARAGOZA"	"PERSONAL"	2922825849.05	148964107.44	264	21.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1444.00	"NECHI"	"PERSONAL"	2225457029.98	146670432.53	262	39.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1478.00	"TARAZA"	"PERSONAL"	3181829306.93	187787666.75	360	49.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	2701.00	"AYAPEL"	"PERSONAL"	2651340223.33	180439358.16	392	43.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	2712.00	"BUENAVISTA (CORDOBA)"	"PERSONAL"	1684678302.01	125573543.00	219	26.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	2752.00	"MONTELIBANO"	"PERSONAL"	5263907226.63	192750296.98	479	39.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	2765.00	"PLANETA RICA"	"PERSONAL"	3505121570.46	242821396.82	501	43.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	2767.00	"PUEBLO NUEVO"	"PERSONAL"	2302647534.24	18415310.93	333	10.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	2771.00	"PUERTO LIBERTADOR"	"PERSONAL"	2035507872.62	147247909.65	223	44.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Magdal Medio"	1365.00	"PUERTO BERRIO"	"PERSONAL"	3082044840.42	227631532.09	359	29.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Magdal Medio"	1366.00	"PUERTO TRIUNFO"	"PERSONAL"	3379808553.47	277804779.86	475	51.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Magdal Medio"	1368.00	"CISNEROS"	"PERSONAL"	2955161178.31	137979979.16	487	28.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Magdal Medio"	1410.00	"CARACOLI"	"PERSONAL"	2247402679.46	62342807.66	287	18.00	31/12/2020 00:00:00
"Antioquia"	"Antioquia Magdal Medio"	1430.00	"PUERTO NARE"	"PERSONAL"	2056728116.40	125388971.52	285	25.00	31/12/2020 00:00:00
