"regional"	"zonal"	"mo_oficina"	"mo_nombre_oficina"	"Banca_cliente"	"Saldo_total"	"Saldo_vencido"	"Obligaciones_Total"	"Obligaciones_vencidas"	"mo_fecha_de_proceso"
"Antioquia"	"Antioquia Apartado"	1325.00	"CHIGORODO"	"PERSONAL"	3252471772.60	195162512.00	307	22.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	1326.00	"MUTATA-ANTIOQUIA"	"PERSONAL"	467891320.34	43331906.06	69	10.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	1332.00	"TURBO"	"PERSONAL"	949862501.92	19178268.19	103	6.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	1352.00	"APARTADO"	"PERSONAL"	2167764472.03	259324698.00	252	42.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	1356.00	"SAN JUAN DE URABA"	"PERSONAL"	177688840.00	0.00	12	0.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	1446.00	"NECOCLI"	"PERSONAL"	2572342856.57	126841546.00	130	13.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3301.00	"ACANDI"	"PERSONAL"	777334430.03	18824872.00	111	5.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3303.00	"QUIBDO"	"PERSONAL"	8442693132.65	472018810.62	581	56.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3309.00	"BAHIA SOLANO"	"PERSONAL"	751782050.50	4479345.74	65	2.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3320.00	"CONDOTO"	"PERSONAL"	3998693102.27	210783268.26	399	36.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3350.00	"PIZARRO"	"PERSONAL"	829843371.36	1517736.00	52	1.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3360.00	"RIOSUCIO (CHOCO)"	"PERSONAL"	657222385.29	52261838.11	72	13.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3370.00	"UNGUIA"	"PERSONAL"	1221420952.86	0.00	73	0.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Apartado"	3375.00	"TADO"	"PERSONAL"	1691376637.72	45676502.45	109	8.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1320.00	"EL BAGRE"	"PERSONAL"	2711249798.71	188453501.00	271	24.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1321.00	"CAUCASIA"	"PERSONAL"	4458359963.20	274616691.64	358	41.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1399.00	"ZARAGOZA"	"PERSONAL"	2084665365.43	96817208.94	172	13.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1444.00	"NECHI"	"PERSONAL"	1714417115.07	17957553.00	104	4.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	1478.00	"TARAZA"	"PERSONAL"	2315894896.70	91792367.00	206	20.00	31/12/2021 00:00:00
"Antioquia"	"Antioquia Caucasia Nte"	2701.00	"AYAPEL"	"PERSONAL"	818320807.79	35257666.00	118	13.00	31/12/2021 00:00:00
